direction,ontology,line,go.id,term,annotated,significant,expected,rank_in_ks,fisher,ks
up,BP,Ara-1,GO:0000455,enzyme-directed rRNA pseudouridine synth...,8,3,0.24,1214,0.00129,0.9999
up,BP,Ara-1,GO:0019856,pyrimidine nucleobase biosynthetic proce...,8,3,0.24,214,0.00129,0.0633
up,BP,Ara-1,GO:0031118,rRNA pseudouridine synthesis,8,3,0.24,1215,0.00129,0.9999
up,BP,Ara-1,GO:1904659,glucose transmembrane transport,8,3,0.24,1191,0.00129,0.9941
up,BP,Ara-1,GO:0070475,rRNA base methylation,18,4,0.53,522,0.00164,0.3776
up,BP,Ara-1,GO:0009112,nucleobase metabolic process,30,5,0.88,1194,0.00166,0.9950
up,BP,Ara-1,GO:0009084,glutamine family amino acid biosynthetic...,19,4,0.56,432,0.00203,0.2887
up,BP,Ara-1,GO:0008645,hexose transmembrane transport,20,4,0.59,563,0.00248,0.4168
up,BP,Ara-1,GO:0006139,nucleobase-containing compound metabolic...,654,31,19.29,705,0.00252,0.6050
up,BP,Ara-1,GO:0031167,rRNA methylation,22,4,0.65,491,0.00358,0.3500
up,BP,Ara-1,GO:0044238,primary metabolic process,1277,50,37.66,497,0.00393,0.3556
up,BP,Ara-1,GO:0001522,pseudouridine synthesis,12,3,0.35,1213,0.00465,0.9999
up,BP,Ara-1,GO:0006526,arginine biosynthetic process,12,3,0.35,387,0.00465,0.2437
up,BP,Ara-1,GO:0046112,nucleobase biosynthetic process,12,3,0.35,501,0.00465,0.3584
up,BP,Ara-1,GO:1901264,carbohydrate derivative transport,38,5,1.12,1201,0.00485,0.9980
up,BP,Ara-1,GO:0006520,cellular amino acid metabolic process,181,12,5.34,113,0.00642,0.0147
up,BP,Ara-1,GO:0055086,nucleobase-containing small molecule met...,159,11,4.69,340,0.00663,0.1781
up,BP,Ara-1,GO:0006725,cellular aromatic compound metabolic pro...,758,33,22.36,814,0.00731,0.7003
up,BP,Ara-1,GO:0071103,DNA conformation change,14,3,0.41,405,0.00737,0.2568
up,BP,Ara-1,GO:0006207,'de novo' pyrimidine nucleobase biosynth...,5,2,0.15,352,0.00832,0.1990
up,BP,Ara-1,GO:0006546,glycine catabolic process,5,2,0.15,568,0.00832,0.4210
up,BP,Ara-1,GO:0019355,nicotinamide nucleotide biosynthetic pro...,5,2,0.15,1059,0.00832,0.9138
up,BP,Ara-1,GO:0034627,'de novo' NAD biosynthetic process,5,2,0.15,1060,0.00832,0.9138
up,BP,Ara-1,GO:0034628,'de novo' NAD biosynthetic process from ...,5,2,0.15,1061,0.00832,0.9138
up,BP,Ara-1,GO:0006544,glycine metabolic process,6,2,0.18,651,0.01223,0.5376
up,BP,Ara-1,GO:0031119,tRNA pseudouridine synthesis,6,2,0.18,1216,0.01223,0.9999
up,BP,Ara-1,GO:0034641,cellular nitrogen compound metabolic pro...,848,35,25.01,742,0.01317,0.6388
up,BP,Ara-1,GO:1901360,organic cyclic compound metabolic proces...,790,33,23.3,903,0.01425,0.7875
up,BP,Ara-1,GO:0015749,monosaccharide transmembrane transport,33,4,0.97,669,0.01563,0.5691
up,BP,Ara-1,GO:0046483,heterocycle metabolic process,764,32,22.53,732,0.01564,0.6295
up,BP,Ara-1,GO:0009314,response to radiation,91,7,2.68,272,0.01743,0.1159
up,BP,Ara-1,GO:0006525,arginine metabolic process,19,3,0.56,541,0.01761,0.4021
up,BP,Ara-1,GO:0072527,pyrimidine-containing compound metabolic...,52,5,1.53,715,0.01814,0.6104
up,BP,Ara-1,GO:0051276,chromosome organization,20,3,0.59,284,0.02028,0.1255
up,BP,Ara-1,GO:0098739,import across plasma membrane,20,3,0.59,502,0.02028,0.3588
up,BP,Ara-1,GO:0071704,organic substance metabolic process,1545,55,45.57,1124,0.02182,0.9619
up,BP,Ara-1,GO:0006531,aspartate metabolic process,8,2,0.24,1084,0.02196,0.9304
up,BP,Ara-1,GO:0009071,serine family amino acid catabolic proce...,8,2,0.24,452,0.02196,0.3135
up,BP,Ara-1,GO:0015851,nucleobase transport,8,2,0.24,1206,0.02196,0.9991
up,BP,Ara-1,GO:0032392,DNA geometric change,8,2,0.24,617,0.02196,0.4998
up,BP,Ara-1,GO:0032508,DNA duplex unwinding,8,2,0.24,618,0.02196,0.4998
up,BP,Ara-1,GO:1901605,alpha-amino acid metabolic process,141,9,4.16,98,0.02271,0.0118
up,BP,Ara-1,GO:1901564,organonitrogen compound metabolic proces...,696,29,20.53,72,0.02468,0.0071
up,BP,Ara-2,GO:0008652,cellular amino acid biosynthetic process,105,35,7.5,789,4.2e-16,0.66240
up,BP,Ara-2,GO:1901605,alpha-amino acid metabolic process,143,40,10.21,842,2.4e-15,0.71960
up,BP,Ara-2,GO:0006520,cellular amino acid metabolic process,183,45,13.07,1073,6.5e-15,0.91918
up,BP,Ara-2,GO:0016053,organic acid biosynthetic process,155,41,11.07,969,8.8e-15,0.82668
up,BP,Ara-2,GO:0046394,carboxylic acid biosynthetic process,155,41,11.07,970,8.8e-15,0.82668
up,BP,Ara-2,GO:1901607,alpha-amino acid biosynthetic process,92,31,6.57,597,1.8e-14,0.47788
up,BP,Ara-2,GO:0019752,carboxylic acid metabolic process,369,61,26.35,1172,1.2e-11,0.99183
up,BP,Ara-2,GO:0043436,oxoacid metabolic process,378,61,26.99,1171,3.7e-11,0.99160
up,BP,Ara-2,GO:0006082,organic acid metabolic process,389,61,27.77,1170,1.4e-10,0.99131
up,BP,Ara-2,GO:0044283,small molecule biosynthetic process,249,46,17.78,1101,2.1e-10,0.94906
up,BP,Ara-2,GO:0006526,arginine biosynthetic process,12,9,0.86,1099,7.3e-09,0.94795
up,BP,Ara-2,GO:0006525,arginine metabolic process,19,11,1.36,1166,8.4e-09,0.99046
up,BP,Ara-2,GO:0031163,metallo-sulfur cluster assembly,19,11,1.36,1182,8.4e-09,0.99522
up,BP,Ara-2,GO:0016226,iron-sulfur cluster assembly,18,10,1.29,1173,7.2e-08,0.99263
up,BP,Ara-2,GO:1901566,organonitrogen compound biosynthetic pro...,374,53,26.7,828,1.5e-07,0.70570
up,BP,Ara-2,GO:0044281,small molecule metabolic process,638,76,45.55,1185,2.2e-07,0.99597
up,BP,Ara-2,GO:0098657,import into cell,40,14,2.86,485,2.5e-07,0.37048
up,BP,Ara-2,GO:0009084,glutamine family amino acid biosynthetic...,19,9,1.36,1072,2.0e-06,0.91863
up,BP,Ara-2,GO:0006790,sulfur compound metabolic process,91,20,6.5,1152,3.2e-06,0.98598
up,BP,Ara-2,GO:0098739,import across plasma membrane,20,9,1.43,1096,3.4e-06,0.93793
up,BP,Ara-2,GO:0015820,leucine transport,9,6,0.64,590,8.6e-06,0.47128
up,BP,Ara-2,GO:0097428,protein maturation by iron-sulfur cluste...,6,5,0.43,1145,1.0e-05,0.98334
up,BP,Ara-2,GO:0009064,glutamine family amino acid metabolic pr...,40,12,2.86,1104,1.2e-05,0.95407
up,BP,Ara-2,GO:1901564,organonitrogen compound metabolic proces...,700,76,49.98,1088,1.2e-05,0.93303
up,BP,Ara-2,GO:0009070,serine family amino acid biosynthetic pr...,18,8,1.29,851,1.4e-05,0.72782
up,BP,Ara-2,GO:0009069,serine family amino acid metabolic proce...,29,10,2.07,1117,1.6e-05,0.96614
up,BP,Ara-2,GO:0015818,isoleucine transport,7,5,0.5,924,3.3e-05,0.78063
up,BP,Ara-2,GO:0015803,branched-chain amino acid transport,11,6,0.79,307,4.2e-05,0.15494
up,BP,Ara-2,GO:0043090,amino acid import,12,6,0.86,1023,7.9e-05,0.87880
up,BP,Ara-2,GO:0089718,amino acid import across plasma membrane,12,6,0.86,1024,7.9e-05,0.87880
up,BP,Ara-2,GO:0006812,cation transport,160,25,11.42,31,0.00010,0.00052
up,BP,Ara-2,GO:1903714,isoleucine transmembrane transport,5,4,0.36,1140,0.00012,0.98139
up,BP,Ara-2,GO:1903785,L-valine transmembrane transport,5,4,0.36,1141,0.00012,0.98139
up,BP,Ara-2,GO:0051186,cofactor metabolic process,172,26,12.28,712,0.00013,0.58119
up,BP,Ara-2,GO:0046451,diaminopimelate metabolic process,13,6,0.93,1138,0.00014,0.97777
up,BP,Ara-2,GO:0009066,aspartate family amino acid metabolic pr...,44,11,3.14,978,0.00017,0.83433
up,BP,Ara-2,GO:0015829,valine transport,9,5,0.64,377,0.00018,0.24164
up,BP,Ara-2,GO:0044249,cellular biosynthetic process,855,84,61.05,690,0.00018,0.56558
up,BP,Ara-2,GO:0009072,aromatic amino acid family metabolic pro...,31,9,2.21,1176,0.00020,0.99463
up,BP,Ara-2,GO:0009067,aspartate family amino acid biosynthetic...,25,8,1.79,772,0.00022,0.65069
up,BP,Ara-2,GO:0051188,cofactor biosynthetic process,139,22,9.92,571,0.00023,0.45291
up,BP,Ara-2,GO:0009073,aromatic amino acid family biosynthetic ...,26,8,1.86,1184,0.00030,0.99550
up,BP,Ara-2,GO:0015807,L-amino acid transport,26,8,1.86,698,0.00030,0.57275
up,BP,Ara-2,GO:0009089,lysine biosynthetic process via diaminop...,10,5,0.71,1120,0.00033,0.96817
up,BP,Ara-2,GO:0015801,aromatic amino acid transport,10,5,0.71,1066,0.00033,0.91143
up,BP,Ara-2,GO:0006558,L-phenylalanine metabolic process,6,4,0.43,1197,0.00034,0.99817
up,BP,Ara-2,GO:1902221,erythrose 4-phosphate/phosphoenolpyruvat...,6,4,0.43,1198,0.00034,0.99817
up,BP,Ara-2,GO:0009058,biosynthetic process,874,84,62.4,560,0.00042,0.44536
up,BP,Ara-2,GO:0043648,dicarboxylic acid metabolic process,65,13,4.64,582,0.00050,0.46607
up,BP,Ara-2,GO:0006865,amino acid transport,57,12,4.07,388,0.00050,0.25489
up,BP,Ara-2,GO:1902475,L-alpha-amino acid transmembrane transpo...,16,6,1.14,996,0.00053,0.85077
up,BP,Ara-2,GO:0046496,nicotinamide nucleotide metabolic proces...,11,5,0.79,1220,0.00057,0.99995
up,BP,Ara-2,GO:0006551,leucine metabolic process,7,4,0.5,1050,0.00074,0.90100
up,BP,Ara-2,GO:0009092,homoserine metabolic process,7,4,0.5,1137,0.00074,0.97764
up,BP,Ara-2,GO:0009098,leucine biosynthetic process,7,4,0.5,1051,0.00074,0.90100
up,BP,Ara-2,GO:0015823,phenylalanine transport,7,4,0.5,1158,0.00074,0.98831
up,BP,Ara-2,GO:0042940,D-amino acid transport,7,4,0.5,1163,0.00074,0.98981
up,BP,Ara-2,GO:0009081,branched-chain amino acid metabolic proc...,17,6,1.21,347,0.00078,0.20598
up,BP,Ara-2,GO:0009082,branched-chain amino acid biosynthetic p...,17,6,1.21,348,0.00078,0.20598
up,BP,Ara-2,GO:0019362,pyridine nucleotide metabolic process,12,5,0.86,1218,0.00092,0.99994
up,BP,Ara-2,GO:0006531,aspartate metabolic process,8,4,0.57,1136,0.00140,0.97730
up,BP,Ara-2,GO:0009085,lysine biosynthetic process,13,5,0.93,1111,0.00141,0.95877
up,BP,Ara-2,GO:0006553,lysine metabolic process,14,5,1,1106,0.00207,0.95566
up,BP,Ara-2,GO:0009309,amine biosynthetic process,14,5,1,1191,0.00207,0.99759
up,BP,Ara-2,GO:0042401,cellular biogenic amine biosynthetic pro...,14,5,1,1192,0.00207,0.99759
up,BP,Ara-3,GO:0006526,arginine biosynthetic process,12,10,0.53,1186,1.3e-12,0.99611
up,BP,Ara-3,GO:0006525,arginine metabolic process,19,11,0.84,1187,4.7e-11,0.99623
up,BP,Ara-3,GO:0009084,glutamine family amino acid biosynthetic...,19,10,0.84,976,1.3e-09,0.87135
up,BP,Ara-3,GO:0000105,histidine biosynthetic process,8,6,0.35,1175,1.8e-07,0.99488
up,BP,Ara-3,GO:0006547,histidine metabolic process,8,6,0.35,1176,1.8e-07,0.99488
up,BP,Ara-3,GO:0052803,imidazole-containing compound metabolic ...,8,6,0.35,1177,1.8e-07,0.99488
up,BP,Ara-3,GO:1901607,alpha-amino acid biosynthetic process,92,17,4.06,381,2.7e-07,0.28414
up,BP,Ara-3,GO:0009064,glutamine family amino acid metabolic pr...,40,11,1.76,1149,6.5e-07,0.98857
up,BP,Ara-3,GO:0008652,cellular amino acid biosynthetic process,105,17,4.63,427,2.0e-06,0.34477
up,BP,Ara-3,GO:1901605,alpha-amino acid metabolic process,142,20,6.26,438,2.2e-06,0.35239
up,BP,Ara-3,GO:0006591,ornithine metabolic process,5,4,0.22,1150,1.8e-05,0.98864
up,BP,Ara-3,GO:0042450,arginine biosynthetic process via ornith...,5,4,0.22,1151,1.8e-05,0.98864
up,BP,Ara-3,GO:0006520,cellular amino acid metabolic process,182,21,8.03,365,3.0e-05,0.26205
up,BP,Ara-3,GO:0009073,aromatic amino acid family biosynthetic ...,26,7,1.15,1138,9.3e-05,0.98113
up,BP,Ara-3,GO:0016053,organic acid biosynthetic process,155,18,6.84,318,0.00011,0.20716
up,BP,Ara-3,GO:0046394,carboxylic acid biosynthetic process,155,18,6.84,319,0.00011,0.20716
up,BP,Ara-3,GO:0044281,small molecule metabolic process,630,45,27.78,1170,0.00022,0.99339
up,BP,Ara-3,GO:0005977,glycogen metabolic process,8,4,0.35,685,0.00023,0.62119
up,BP,Ara-3,GO:0006112,energy reserve metabolic process,8,4,0.35,686,0.00023,0.62119
up,BP,Ara-3,GO:0009072,aromatic amino acid family metabolic pro...,30,7,1.32,1199,0.00025,0.99884
up,BP,Ara-3,GO:0015755,fructose transmembrane transport,5,3,0.22,1168,0.00080,0.99313
up,BP,Ara-3,GO:0032445,fructose import,5,3,0.22,1169,0.00080,0.99313
up,BP,Ara-3,GO:0046323,glucose import,5,3,0.22,704,0.00080,0.64151
up,BP,Ara-3,GO:0016226,iron-sulfur cluster assembly,18,5,0.79,156,0.00086,0.03158
up,BP,Ara-3,GO:0006082,organic acid metabolic process,385,30,16.98,988,0.00094,0.88099
up,BP,Ara-3,GO:0031163,metallo-sulfur cluster assembly,19,5,0.84,130,0.00112,0.01699
up,BP,Ara-3,GO:0098657,import into cell,40,7,1.76,145,0.00158,0.02535
up,BP,Ara-3,GO:0019752,carboxylic acid metabolic process,365,28,16.1,810,0.00187,0.74922
up,BP,Ara-3,GO:0044283,small molecule biosynthetic process,249,21,10.98,602,0.00247,0.52436
up,BP,Ara-3,GO:1901566,organonitrogen compound biosynthetic pro...,373,28,16.45,730,0.00262,0.66827
up,BP,Ara-3,GO:1901658,glycosyl compound catabolic process,7,3,0.31,1193,0.00263,0.99729
up,BP,Ara-3,GO:0043436,oxoacid metabolic process,374,28,16.49,809,0.00272,0.74877
up,BP,Ara-3,GO:1904659,glucose transmembrane transport,8,3,0.35,946,0.00408,0.85288
up,BP,Ara-3,GO:0006073,cellular glucan metabolic process,16,4,0.71,349,0.00447,0.24005
up,BP,Ara-3,GO:0006826,iron ion transport,37,6,1.63,82,0.00510,0.00434
up,BP,Ara-3,GO:1901264,carbohydrate derivative transport,38,6,1.68,1076,0.00584,0.94792
up,BP,Ara-3,GO:0006879,cellular iron ion homeostasis,27,5,1.19,187,0.00587,0.05045
up,BP,Ara-3,GO:0055072,iron ion homeostasis,27,5,1.19,188,0.00587,0.05045
up,BP,Ara-3,GO:0009435,NAD biosynthetic process,9,3,0.4,829,0.00592,0.76923
up,BP,Ara-3,GO:0033212,iron import into cell,18,4,0.79,136,0.00701,0.02095
up,BP,Ara-3,GO:0044042,glucan metabolic process,18,4,0.79,493,0.00701,0.41593
up,BP,Ara-3,GO:0019359,nicotinamide nucleotide biosynthetic pro...,10,3,0.44,895,0.00819,0.82366
up,BP,Ara-3,GO:0055086,nucleobase-containing small molecule met...,157,14,6.92,1189,0.00851,0.99662
up,BP,Ara-3,GO:0072525,pyridine-containing compound biosyntheti...,20,4,0.88,1071,0.01036,0.94458
up,BP,Ara-3,GO:0019363,pyridine nucleotide biosynthetic process,11,3,0.49,971,0.01090,0.86779
up,BP,Ara-3,GO:0046496,nicotinamide nucleotide metabolic proces...,11,3,0.49,972,0.01090,0.86779
up,BP,Ara-3,GO:1901564,organonitrogen compound metabolic proces...,691,42,30.47,1048,0.01145,0.92865
up,BP,Ara-3,GO:0046916,cellular transition metal ion homeostasi...,32,5,1.41,48,0.01227,0.00047
up,BP,Ara-3,GO:0072524,pyridine-containing compound metabolic p...,21,4,0.93,1155,0.01237,0.98898
up,BP,Ara-3,GO:0009058,biosynthetic process,865,50,38.15,582,0.01356,0.49587
up,BP,Ara-3,GO:0006753,nucleoside phosphate metabolic process,102,10,4.5,1173,0.01369,0.99434
up,BP,Ara-3,GO:0055076,transition metal ion homeostasis,33,5,1.46,51,0.01396,0.00064
up,BP,Ara-3,GO:0019362,pyridine nucleotide metabolic process,12,3,0.53,1017,0.01406,0.90325
up,BP,Ara-3,GO:0044249,cellular biosynthetic process,846,49,37.31,564,0.01430,0.47529
up,BP,Ara-3,GO:0009262,deoxyribonucleotide metabolic process,13,3,0.57,1202,0.01770,0.99930
up,BP,Ara-3,GO:0051649,establishment of localization in cell,35,5,1.54,208,0.01779,0.06769
up,BP,Ara-3,GO:0006097,glyoxylate cycle,5,2,0.22,830,0.01797,0.76972
up,BP,Ara-3,GO:0015794,glycerol-3-phosphate transmembrane trans...,5,2,0.22,1046,0.01797,0.92810
up,BP,Ara-3,GO:0019355,nicotinamide nucleotide biosynthetic pro...,5,2,0.22,1152,0.01797,0.98890
up,BP,Ara-3,GO:0034627,'de novo' NAD biosynthetic process,5,2,0.22,1153,0.01797,0.98890
up,BP,Ara-3,GO:0034628,'de novo' NAD biosynthetic process from ...,5,2,0.22,1154,0.01797,0.98890
up,BP,Ara-3,GO:1901136,carbohydrate derivative catabolic proces...,48,6,2.12,1204,0.01810,0.99944
up,BP,Ara-3,GO:0006875,cellular metal ion homeostasis,36,5,1.59,66,0.01995,0.00148
up,BP,Ara-3,GO:0009401,phosphoenolpyruvate-dependent sugar phos...,36,5,1.59,1143,0.01995,0.98349
up,BP,Ara-3,GO:0055065,metal ion homeostasis,37,5,1.63,69,0.02227,0.00189
up,BP,Ara-4,GO:0015820,leucine transport,9,5,0.18,821,3.2e-07,0.7435
up,BP,Ara-4,GO:0015803,branched-chain amino acid transport,11,5,0.22,565,1.1e-06,0.4939
up,BP,Ara-4,GO:0015818,isoleucine transport,7,4,0.14,688,4.8e-06,0.6122
up,BP,Ara-4,GO:0015829,valine transport,9,4,0.18,601,1.7e-05,0.5120
up,BP,Ara-4,GO:0009084,glutamine family amino acid biosynthetic...,19,5,0.37,571,2.5e-05,0.4985
up,BP,Ara-4,GO:1903714,isoleucine transmembrane transport,5,3,0.1,1023,7.4e-05,0.9024
up,BP,Ara-4,GO:1903785,L-valine transmembrane transport,5,3,0.1,1024,7.4e-05,0.9024
up,BP,Ara-4,GO:0006733,oxidoreduction coenzyme metabolic proces...,28,5,0.55,1219,0.00019,0.9995
up,BP,Ara-4,GO:0015804,neutral amino acid transport,29,5,0.57,164,0.00022,0.0695
up,BP,Ara-4,GO:0015823,phenylalanine transport,7,3,0.14,680,0.00025,0.6032
up,BP,Ara-4,GO:1901605,alpha-amino acid metabolic process,143,10,2.81,89,0.00041,0.0161
up,BP,Ara-4,GO:0009435,NAD biosynthetic process,9,3,0.18,1215,0.00059,0.9986
up,BP,Ara-4,GO:0006520,cellular amino acid metabolic process,183,11,3.6,130,0.00075,0.0365
up,BP,Ara-4,GO:0015801,aromatic amino acid transport,10,3,0.2,516,0.00083,0.4435
up,BP,Ara-4,GO:0019359,nicotinamide nucleotide biosynthetic pro...,10,3,0.2,1213,0.00083,0.9984
up,BP,Ara-4,GO:0009064,glutamine family amino acid metabolic pr...,40,5,0.79,329,0.00103,0.2363
up,BP,Ara-4,GO:0019363,pyridine nucleotide biosynthetic process,11,3,0.22,1210,0.00112,0.9983
up,BP,Ara-4,GO:0046496,nicotinamide nucleotide metabolic proces...,11,3,0.22,1211,0.00112,0.9983
up,BP,Ara-4,GO:0006526,arginine biosynthetic process,12,3,0.24,247,0.00148,0.1469
up,BP,Ara-4,GO:0019362,pyridine nucleotide metabolic process,12,3,0.24,1209,0.00148,0.9981
up,BP,Ara-4,GO:0043090,amino acid import,12,3,0.24,588,0.00148,0.5071
up,BP,Ara-4,GO:0089718,amino acid import across plasma membrane,12,3,0.24,589,0.00148,0.5071
up,BP,Ara-4,GO:1901607,alpha-amino acid biosynthetic process,92,7,1.81,58,0.00205,0.0072
up,BP,Ara-4,GO:1902475,L-alpha-amino acid transmembrane transpo...,16,3,0.31,635,0.00355,0.5541
up,BP,Ara-4,GO:0019355,nicotinamide nucleotide biosynthetic pro...,5,2,0.1,1040,0.00380,0.9148
up,BP,Ara-4,GO:0034627,'de novo' NAD biosynthetic process,5,2,0.1,1041,0.00380,0.9148
up,BP,Ara-4,GO:0034628,'de novo' NAD biosynthetic process from ...,5,2,0.1,1042,0.00380,0.9148
up,BP,Ara-4,GO:0008652,cellular amino acid biosynthetic process,105,7,2.07,71,0.00435,0.0101
up,BP,Ara-4,GO:0006865,amino acid transport,57,5,1.12,110,0.00508,0.0266
up,BP,Ara-4,GO:0006525,arginine metabolic process,19,3,0.37,166,0.00588,0.0726
up,BP,Ara-4,GO:0072525,pyridine-containing compound biosyntheti...,20,3,0.39,1207,0.00682,0.9968
up,BP,Ara-4,GO:0098739,import across plasma membrane,20,3,0.39,389,0.00682,0.3028
up,BP,Ara-4,GO:0072524,pyridine-containing compound metabolic p...,21,3,0.41,1206,0.00785,0.9967
up,BP,Ara-4,GO:0044281,small molecule metabolic process,638,21,12.55,1224,0.00818,0.9997
up,BP,Ara-4,GO:0006531,aspartate metabolic process,8,2,0.16,803,0.01023,0.7274
up,BP,Ara-4,GO:0046942,carboxylic acid transport,95,6,1.87,228,0.01078,0.1334
up,BP,Ara-4,GO:1901564,organonitrogen compound metabolic proces...,700,22,13.77,168,0.01149,0.0755
up,BP,Ara-4,GO:0009117,nucleotide metabolic process,98,6,1.93,1217,0.01247,0.9988
up,BP,Ara-4,GO:0006536,glutamate metabolic process,9,2,0.18,766,0.01299,0.6893
up,BP,Ara-4,GO:0006541,glutamine metabolic process,9,2,0.18,622,0.01299,0.5382
up,BP,Ara-4,GO:1903825,organic acid transmembrane transport,47,4,0.92,175,0.01360,0.0850
up,BP,Ara-4,GO:1905039,carboxylic acid transmembrane transport,47,4,0.92,176,0.01360,0.0850
up,BP,Ara-4,GO:0015807,L-amino acid transport,26,3,0.51,485,0.01430,0.4160
up,BP,Ara-4,GO:0015849,organic acid transport,101,6,1.99,136,0.01434,0.0413
up,BP,Ara-4,GO:0006753,nucleoside phosphate metabolic process,102,6,2.01,1156,0.01501,0.9699
up,BP,Ara-4,GO:0006807,nitrogen compound metabolic process,1186,32,23.34,358,0.01518,0.2758
up,BP,Ara-4,GO:0043687,post-translational protein modification,10,2,0.2,1216,0.01603,0.9987
up,BP,Ara-4,GO:0018205,peptidyl-lysine modification,11,2,0.22,1214,0.01934,0.9986
up,BP,Ara-4,GO:0019740,nitrogen utilization,12,2,0.24,1218,0.02291,0.9988
up,BP,Ara-4,GO:0003333,amino acid transmembrane transport,31,3,0.61,162,0.02305,0.0679
up,BP,Ara-4,GO:0044283,small molecule biosynthetic process,249,10,4.9,455,0.02343,0.3798
up,BP,Ara-4,GO:0009108,coenzyme biosynthetic process,86,5,1.69,1163,0.02731,0.9776
up,BP,Ara-4,GO:0009165,nucleotide biosynthetic process,60,4,1.18,1205,0.03072,0.9959
up,BP,Ara-4,GO:0016053,organic acid biosynthetic process,155,7,3.05,114,0.03290,0.0285
up,BP,Ara-4,GO:0046394,carboxylic acid biosynthetic process,155,7,3.05,115,0.03290,0.0285
up,BP,Ara-4,GO:1901293,nucleoside phosphate biosynthetic proces...,63,4,1.24,1203,0.03591,0.9957
up,BP,Ara-4,GO:0055086,nucleobase-containing small molecule met...,160,7,3.15,540,0.03821,0.4663
up,BP,Ara-4,GO:0006743,ubiquinone metabolic process,16,2,0.31,1222,0.03959,0.9997
up,BP,Ara-4,GO:0006744,ubiquinone biosynthetic process,16,2,0.31,1223,0.03959,0.9997
up,BP,Ara-4,GO:0043648,dicarboxylic acid metabolic process,65,4,1.28,907,0.03964,0.8157
up,BP,Ara-4,GO:0098656,anion transmembrane transport,65,4,1.28,152,0.03964,0.0596
up,BP,Ara-4,GO:0006796,phosphate-containing compound metabolic ...,238,9,4.68,1221,0.04403,0.9997
up,BP,Ara-4,GO:0006855,drug transmembrane transport,40,3,0.79,345,0.04468,0.2487
up,BP,Ara-4,GO:0098657,import into cell,40,3,0.79,180,0.04468,0.0900
up,BP,Ara-4,GO:0015711,organic anion transport,135,6,2.66,79,0.05063,0.0120
up,BP,Ara-5,GO:0006097,glyoxylate cycle,5,3,0.09,1124,5.5e-05,0.9845
up,BP,Ara-5,GO:0009435,NAD biosynthetic process,9,3,0.16,1090,0.00044,0.9738
up,BP,Ara-5,GO:0019359,nicotinamide nucleotide biosynthetic pro...,10,3,0.18,1183,0.00061,0.9977
up,BP,Ara-5,GO:0046487,glyoxylate metabolic process,10,3,0.18,1167,0.00061,0.9959
up,BP,Ara-5,GO:0019363,pyridine nucleotide biosynthetic process,11,3,0.2,1178,0.00083,0.9974
up,BP,Ara-5,GO:0046496,nicotinamide nucleotide metabolic proces...,11,3,0.2,1179,0.00083,0.9974
up,BP,Ara-5,GO:0009066,aspartate family amino acid metabolic pr...,44,5,0.8,603,0.00101,0.4677
up,BP,Ara-5,GO:0019362,pyridine nucleotide metabolic process,12,3,0.22,1175,0.00110,0.9972
up,BP,Ara-5,GO:0008033,tRNA processing,55,5,1,302,0.00279,0.1938
up,BP,Ara-5,GO:0051188,cofactor biosynthetic process,139,8,2.52,109,0.00297,0.0302
