line,seqtype,id,description,setsize,enrichmentscore,nes,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
Ara-1,ribo,ebr03440,Homologous recombination,28,0.6579893506518691,1.8097837107387391,0.001625741588159786,0.01758756809009223,0.014779468983270786,447,"tags=32%, list=11%, signal=29%",ECB_04068/ECB_01834/ECB_02459/ECB_01813/ECB_03583/ECB_03820/ECB_03584/ECB_00423/ECB_04247
Ara-1,ribo,ebr00760,Nicotinate and nicotinamide metabolism,23,0.6690469642341017,1.7846509310404992,0.002788014739190962,0.027647812830310373,0.023233456159924688,857,"tags=52%, list=21%, signal=41%",ECB_02468/ECB_00703/ECB_01572/ECB_02550/ECB_04249/ECB_03251/ECB_01571/ECB_04266/ECB_04260/ECB_01709/ECB_01737/ECB_00935
Ara-1,ribo,ebr00920,Sulfur metabolism,31,-0.6832962800205706,-1.6716646105353414,0.004874634869979675,0.044621657655967796,0.037497191307535975,285,"tags=48%, list=7%, signal=45%",ECB_02314/ECB_00317/ECB_00318/ECB_02323/ECB_00316/ECB_02600/ECB_02322/ECB_02601/ECB_00315/ECB_02608/ECB_02602/ECB_02607/ECB_02609/ECB_02324/ECB_02325
Ara-1,ribo,ebr00020,Citrate cycle (TCA cycle),29,0.5831264952774868,1.6155161439654104,0.009748964253500341,0.07942874646296989,0.0667468457672016,1258,"tags=66%, list=31%, signal=46%",ECB_00682/ECB_00681/ECB_01581/ECB_00683/ECB_00117/ECB_00684/ECB_03993/ECB_01253/ECB_04024/ECB_03096/ECB_04025/ECB_01134/ECB_01349/ECB_00687/ECB_01580/ECB_00685/ECB_00688/ECB_03255/ECB_04023
Ara-1,ribo,ebr00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",21,0.6630618834198934,1.731013865757365,0.010012026865080239,0.07942874646296989,0.0667468457672016,326,"tags=29%, list=8%, signal=26%",ECB_02490/ECB_02489/ECB_01923/ECB_01235/ECB_01673/ECB_01234
Ara-1,ribo,ebr00220,Arginine biosynthesis,18,0.6711733105712804,1.6589816151501966,0.013585758422941038,0.0969573503960842,0.08147676503872625,552,"tags=44%, list=13%, signal=39%",ECB_04120/ECB_02666/ECB_03755/ECB_02215/ECB_03038/ECB_03842/ECB_03210/ECB_03843
Ara-1,ribo,ebr01100,Metabolic pathways,890,0.2678907754645899,1.1569333151557655,0.013851050056583459,0.0969573503960842,0.08147676503872625,706,"tags=21%, list=17%, signal=23%",ECB_02468/ECB_02884/ECB_00703/ECB_04113/ECB_00036/ECB_02490/ECB_04120/ECB_00233/ECB_04112/ECB_00682/ECB_02390/ECB_00900/ECB_00635/ECB_00291/ECB_01928/ECB_02425/ECB_02737/ECB_00899/ECB_02666/ECB_03755/ECB_03499/ECB_02735/ECB_00725/ECB_03941/ECB_00052/ECB_00120/ECB_02489/ECB_02736/ECB_01787/ECB_00037/ECB_01788/ECB_02410/ECB_00914/ECB_01927/ECB_01924/ECB_02642/ECB_03486/ECB_01926/ECB_00949/ECB_00681/ECB_01590/ECB_02814/ECB_02692/ECB_04264/ECB_00119/ECB_04059/ECB_03490/ECB_01572/ECB_03887/ECB_00479/ECB_02160/ECB_03716/ECB_01370/ECB_03886/ECB_02215/ECB_01820/ECB_00473/ECB_03248/ECB_03217/ECB_02400/ECB_00169/ECB_03628/ECB_02237/ECB_02716/ECB_03831/ECB_00898/ECB_03700/ECB_03085/ECB_02063/ECB_02392/ECB_03883/ECB_01789/ECB_02768/ECB_00267/ECB_00907/ECB_02204/ECB_01923/ECB_01235/ECB_04228/ECB_01673/ECB_00243/ECB_01606/ECB_00366/ECB_01925/ECB_03038/ECB_01581/ECB_00683/ECB_03662/ECB_02767/ECB_01234/ECB_04229/ECB_01258/ECB_02201/ECB_03810/ECB_03778/ECB_04085/ECB_02610/ECB_00117/ECB_02354/ECB_03842/ECB_02458/ECB_03491/ECB_00428/ECB_02515/ECB_02449/ECB_02188/ECB_03622/ECB_02212/ECB_04249/ECB_01086/ECB_01844/ECB_00684/ECB_02083/ECB_03777/ECB_02640/ECB_02443/ECB_02044/ECB_02795/ECB_03882/ECB_02399/ECB_03993/ECB_02368/ECB_03251/ECB_01183/ECB_00141/ECB_03741/ECB_01423/ECB_01571/ECB_01129/ECB_01649/ECB_01253/ECB_02298/ECB_03282/ECB_01203/ECB_00309/ECB_03666/ECB_03665/ECB_02765/ECB_03507/ECB_01582/ECB_01655/ECB_01202/ECB_00079/ECB_02318/ECB_00371/ECB_03210/ECB_02208/ECB_02625/ECB_03664/ECB_01784/ECB_03789/ECB_03843/ECB_04266/ECB_01591/ECB_03470/ECB_02543/ECB_00472/ECB_00333/ECB_02211/ECB_02413/ECB_03826/ECB_04260/ECB_00768/ECB_00268/ECB_00744/ECB_02597/ECB_00958/ECB_01836/ECB_01621/ECB_01716/ECB_04024/ECB_03708/ECB_02089/ECB_02675/ECB_04230/ECB_00244/ECB_03096/ECB_01825/ECB_01826/ECB_02554/ECB_00298/ECB_02391/ECB_01586/ECB_03870/ECB_01713/ECB_03620/ECB_00064/ECB_00164/ECB_04025/ECB_00790
Ara-1,ribo,ebr03030,DNA replication,18,0.6313405283188136,1.5605244023911304,0.03174232945800799,0.2031124497991968,0.17068273092369482,1027,"tags=56%, list=25%, signal=42%",ECB_01813/ECB_02936/ECB_03584/ECB_03924/ECB_02311/ECB_04247/ECB_03931/ECB_00182/ECB_00421/ECB_01095
Ara-1,ribo,ebr00910,Nitrogen metabolism,25,-0.6462031358783563,-1.5168278502932735,0.03264604810996564,0.2031124497991968,0.17068273092369482,139,"tags=16%, list=3%, signal=16%",ECB_03077/ECB_02133/ECB_02130/ECB_03078
Ara-1,ribo,ebr00523,Polyketide sugar unit biosynthesis,6,-0.8686277335863515,-1.5493784605193879,0.03413654618473896,0.2031124497991968,0.17068273092369482,154,"tags=67%, list=4%, signal=64%",ECB_01944/ECB_01945/ECB_01946/ECB_01947
Ara-1,ribo,ebr02030,Bacterial chemotaxis,18,-0.6935600850213332,-1.5693015341287535,0.03832752613240418,0.21351674641148324,0.17942583732057416,134,"tags=22%, list=3%, signal=22%",ECB_01852/ECB_03637/ECB_03395/ECB_03906
Ara-1,ribo,ebr00190,Oxidative phosphorylation,42,0.4821277935044366,1.442798980544364,0.039473684210526314,0.21351674641148324,0.17942583732057416,714,"tags=36%, list=17%, signal=30%",ECB_00682/ECB_00681/ECB_04095/ECB_02204/ECB_00683/ECB_02201/ECB_03622/ECB_02212/ECB_00684/ECB_02208/ECB_02211/ECB_04024/ECB_03620/ECB_04025/ECB_02207
Ara-1,ribo,ebr00401,Novobiocin biosynthesis,4,0.8638555729733183,1.4721484056030765,0.04339250493096647,0.22089380486089047,0.18562504610158867,273,"tags=50%, list=7%, signal=47%",ECB_02489/ECB_01923
Ara-1,ribo,ebr00640,Propanoate metabolism,39,0.49939164848552425,1.458575105740786,0.04455001106438127,0.22089380486089047,0.18562504610158867,338,"tags=15%, list=8%, signal=14%",ECB_02884/ECB_03941/ECB_02692/ECB_03831/ECB_00907/ECB_00117
Ara-1,ribo,ebr00680,Methane metabolism,32,0.5191756742441357,1.471485384630418,0.0525,0.24989999999999998,0.21000000000000002,888,"tags=44%, list=22%, signal=35%",ECB_03941/ECB_04264/ECB_03810/ECB_03778/ECB_01844/ECB_02083/ECB_03777/ECB_02443/ECB_00309/ECB_03470/ECB_03096/ECB_03841/ECB_02624/ECB_02756
Ara-1,ribo,ebr01501,beta-Lactam resistance,17,-0.6719282271452495,-1.5019585882336943,0.06039076376554174,0.27640388031151797,0.23227216832900674,315,"tags=41%, list=8%, signal=38%",ECB_00933/ECB_01217/ECB_01220/ECB_01307/ECB_01221/ECB_01218/ECB_01219
Ara-1,ribo,ebr01230,Biosynthesis of amino acids,118,0.3428497496914346,1.2310721394786668,0.07924528301886792,0.3492662473794549,0.2935010482180294,598,"tags=27%, list=15%, signal=24%",ECB_02490/ECB_04120/ECB_01928/ECB_02666/ECB_03755/ECB_02489/ECB_01927/ECB_01924/ECB_02642/ECB_01926/ECB_04264/ECB_02215/ECB_03628/ECB_01923/ECB_01235/ECB_01673/ECB_01925/ECB_03038/ECB_01234/ECB_00117/ECB_03842/ECB_02443/ECB_01253/ECB_02765/ECB_00079/ECB_03210/ECB_01784/ECB_03843/ECB_01591/ECB_03470/ECB_00333/ECB_03826
Ara-1,ribo,ebr00261,Monobactam biosynthesis,8,-0.7570589938961895,-1.434251267168774,0.0860655737704918,0.35117533326549305,0.2951053220718429,673,"tags=62%, list=16%, signal=52%",ECB_03896/ECB_00035/ECB_00002/ECB_02601/ECB_02602
Ara-1,ribo,ebr00230,Purine metabolism,78,0.39127169878066126,1.3078432527573525,0.08733364943129235,0.35117533326549305,0.2951053220718429,680,"tags=35%, list=17%, signal=29%",ECB_00233/ECB_02410/ECB_02160/ECB_01820/ECB_00473/ECB_02400/ECB_02237/ECB_02716/ECB_02392/ECB_03883/ECB_00243/ECB_04085/ECB_00428/ECB_02449/ECB_04249/ECB_02640/ECB_03882/ECB_02399/ECB_02368/ECB_03251/ECB_01129/ECB_03507/ECB_00472/ECB_04260/ECB_00244/ECB_01825/ECB_02391
Ara-1,ribo,ebr00350,Tyrosine metabolism,18,0.559195467122187,1.3821988815994657,0.08878504672897196,0.35117533326549305,0.2951053220718429,805,"tags=33%, list=20%, signal=27%",ECB_01923/ECB_04228/ECB_04229/ECB_00768/ECB_04230/ECB_04225
Ara-1,ribo,ebr02026,Biofilm formation - Escherichia coli,44,-0.5317164764888384,-1.3834425670627202,0.0914826498422713,0.35117533326549305,0.2951053220718429,543,"tags=20%, list=13%, signal=18%",ECB_03681/ECB_01862/ECB_01863/ECB_01318/ECB_03075/ECB_00144/ECB_01039/ECB_01067/ECB_03269
Ara-1,ribo,ebr00620,Pyruvate metabolism,56,0.39816527238992727,1.2525570188760158,0.11730205278592376,0.4307692307692308,0.3619909502262444,706,"tags=27%, list=17%, signal=22%",ECB_03941/ECB_02692/ECB_01370/ECB_03886/ECB_02063/ECB_00907/ECB_01581/ECB_02354/ECB_03993/ECB_01621/ECB_04024/ECB_03096/ECB_01825/ECB_04025/ECB_00790
Ara-1,ribo,ebr00260,"Glycine, serine and threonine metabolism",37,0.448667102756014,1.2992022959156364,0.1196808510638298,0.4307692307692308,0.3619909502262444,613,"tags=35%, list=15%, signal=30%",ECB_02737/ECB_02735/ECB_02736/ECB_02642/ECB_04264/ECB_00267/ECB_01235/ECB_01234/ECB_02443/ECB_01784/ECB_03470/ECB_03826/ECB_00268
Ara-1,ribo,ebr00250,"Alanine, aspartate and glutamate metabolism",33,0.4658758517403907,1.3218274147662668,0.12307692307692308,0.4307692307692308,0.3619909502262444,213,"tags=27%, list=5%, signal=26%",ECB_02468/ECB_04113/ECB_00036/ECB_04112/ECB_03755/ECB_00037/ECB_02215/ECB_03628/ECB_02237
Ara-1,ribo,ebr00052,Galactose metabolism,40,-0.5048677208092183,-1.2960370013460984,0.14171974522292993,0.466023166023166,0.39161610590182017,342,"tags=10%, list=8%, signal=9%",ECB_01692/ECB_03521/ECB_01948/ECB_00351
Ara-1,ribo,ebr00473,D-Alanine metabolism,4,-0.8105058928849704,-1.3345749052327796,0.14343434343434344,0.466023166023166,0.39161610590182017,104,"tags=50%, list=3%, signal=49%",ECB_00093/ECB_01165
Ara-1,ribo,ebr00592,alpha-Linolenic acid metabolism,3,0.8251815709627291,1.2990041491465616,0.14489795918367346,0.466023166023166,0.39161610590182017,222,"tags=33%, list=5%, signal=32%",ECB_03700
Ara-1,ribo,ebr04122,Sulfur relay system,19,0.5062893981746697,1.2719490508829516,0.17096018735362997,0.5353753235547887,0.44989522987797376,878,"tags=37%, list=21%, signal=29%",ECB_01726/ECB_01131/ECB_00371/ECB_03319/ECB_02413/ECB_00749/ECB_03195
Ara-1,ribo,ebr00525,Acarbose and validamycin biosynthesis,4,-0.7899594238433713,-1.3007431931937012,0.17575757575757575,0.5362859362859362,0.4506604506604507,153,"tags=50%, list=4%, signal=48%",ECB_01945/ECB_01947
Ara-1,ribo,ebr00471,D-Glutamine and D-glutamate metabolism,5,-0.7600245581722503,-1.3038025227423238,0.20080321285140562,0.5973895582329317,0.5020080321285141,783,"tags=80%, list=19%, signal=65%",ECB_00092/ECB_03852/ECB_00089/ECB_00436
Ara-1,ribo,ebr00670,One carbon pool by folate,14,0.5382825493099251,1.255993618453795,0.20614035087719298,0.5983097988874625,0.5027813436029098,397,"tags=50%, list=10%, signal=45%",ECB_02737/ECB_00052/ECB_00479/ECB_01820/ECB_02392/ECB_03883/ECB_02443
Ara-1,ribo,ebr00561,Glycerolipid metabolism,14,-0.5874079541106215,-1.2692626183439875,0.21245421245421245,0.6019536019536019,0.5058433629862201,472,"tags=43%, list=12%, signal=38%",ECB_00280/ECB_02890/ECB_01174/ECB_02929/ECB_01173/ECB_03811
Ara-1,ribo,ebr00410,beta-Alanine metabolism,13,-0.589695056217505,-1.2599608959231272,0.2290909090909091,0.6339957716701903,0.53276955602537,535,"tags=31%, list=13%, signal=27%",ECB_01451/ECB_00130/ECB_01401/ECB_02518
Ara-1,ribo,ebr00590,Arachidonic acid metabolism,2,0.8214833561462189,1.1954994409173039,0.24375,0.6592329545454545,0.5539772727272728,222,"tags=50%, list=5%, signal=47%",ECB_03700
Ara-1,ribo,ebr00450,Selenocompound metabolism,17,-0.5532074637261248,-1.2365825212442223,0.25044404973357015,0.6622853759621077,0.5565423327412672,320,"tags=24%, list=8%, signal=22%",ECB_00892/ECB_02601/ECB_02602/ECB_03891
Ara-1,ribo,ebr03018,RNA degradation,16,0.4893841303074007,1.1895813205427084,0.26948775055679286,0.68572695035461,0.5762411347517732,875,"tags=44%, list=21%, signal=35%",ECB_03029/ECB_00764/ECB_03701/ECB_00142/ECB_03031/ECB_04039/ECB_02624
Ara-1,ribo,ebr01503,Cationic antimicrobial peptide (CAMP) resistance,35,-0.4707501514766847,-1.1786357088123351,0.2730210016155089,0.68572695035461,0.5762411347517732,1122,"tags=51%, list=27%, signal=38%",ECB_03984/ECB_01268/ECB_02181/ECB_02182/ECB_01270/ECB_02186/ECB_00414/ECB_00592/ECB_03983/ECB_01269/ECB_02179/ECB_01127/ECB_04036/ECB_01271/ECB_01267/ECB_00160/ECB_02180/ECB_01490
Ara-1,ribo,ebr00650,Butanoate metabolism,37,0.39363727012033944,1.139852781621069,0.2765957446808511,0.68572695035461,0.5762411347517732,706,"tags=27%, list=17%, signal=23%",ECB_00682/ECB_00681/ECB_02692/ECB_00907/ECB_00683/ECB_00684/ECB_00079/ECB_04024/ECB_04025/ECB_00790
Ara-1,ribo,ebr02020,Two-component system,161,-0.3452855241337546,-1.0892202088397538,0.3114754098360656,0.7349828644597598,0.6176326592098823,467,"tags=16%, list=11%, signal=14%",ECB_00694/ECB_01863/ECB_01200/ECB_00160/ECB_00531/ECB_02448/ECB_04158/ECB_03612/ECB_00651/ECB_00933/ECB_03075/ECB_00583/ECB_00996/ECB_00436/ECB_00981/ECB_00532/ECB_00982/ECB_04159/ECB_02360/ECB_00534/ECB_03879/ECB_00535/ECB_00536/ECB_01067/ECB_00533
Ara-1,ribo,ebr00970,Aminoacyl-tRNA biosynthesis,25,0.40145219417915945,1.0883221748412766,0.319047619047619,0.7349828644597598,0.6176326592098823,615,"tags=28%, list=15%, signal=24%",ECB_01847/ECB_03236/ECB_01837/ECB_02044/ECB_00476/ECB_01683/ECB_02722
Ara-1,ribo,ebr01040,Biosynthesis of unsaturated fatty acids,3,-0.7535108334416042,-1.1781047460629117,0.31968810916179335,0.7349828644597598,0.6176326592098823,198,"tags=100%, list=5%, signal=95%",ECB_00445/ECB_00404
Ara-1,ribo,ebr03430,Mismatch repair,24,0.4059387913400537,1.0948256322773404,0.32701421800947866,0.7349828644597598,0.6176326592098823,1204,"tags=54%, list=29%, signal=38%",ECB_01813/ECB_03584/ECB_02311/ECB_04247/ECB_02583/ECB_03689/ECB_03931/ECB_00182/ECB_00421/ECB_01095/ECB_01914/ECB_03504/ECB_02724
Ara-1,ribo,ebr00521,Streptomycin biosynthesis,9,-0.5872163372846722,-1.1459647854023274,0.3273453093812375,0.7349828644597598,0.6176326592098823,154,"tags=44%, list=4%, signal=43%",ECB_01944/ECB_01945/ECB_01946/ECB_01947
Ara-1,ribo,ebr01502,Vancomycin resistance,8,-0.6070076245090787,-1.1499783526151905,0.3442622950819672,0.7586520947176685,0.6375227686703098,104,"tags=38%, list=3%, signal=37%",ECB_00091/ECB_00088/ECB_01165
Ara-1,ribo,ebr00564,Glycerophospholipid metabolism,29,-0.4479025782607597,-1.0879131466982823,0.3673805601317957,0.7948779391942489,0.6679646547850833,671,"tags=38%, list=16%, signal=32%",ECB_02479/ECB_01877/ECB_04030/ECB_00756/ECB_02165/ECB_02890/ECB_02929/ECB_01043/ECB_03298/ECB_01255/ECB_03277
Ara-1,ribo,ebr01210,2-Oxocarboxylic acid metabolism,27,0.380870986499496,1.0381284149947356,0.37623762376237624,0.7995049504950495,0.671852899575672,552,"tags=30%, list=13%, signal=26%",ECB_02666/ECB_02215/ECB_00117/ECB_03842/ECB_01253/ECB_00079/ECB_03210/ECB_03843
Ara-1,ribo,ebr00430,Taurine and hypotaurine metabolism,6,-0.6201350777050247,-1.1061400584594223,0.39959839357429716,0.8342492778130063,0.7010498132882407,535,"tags=33%, list=13%, signal=29%",ECB_01451/ECB_00318
Ara-1,ribo,ebr00380,Tryptophan metabolism,9,0.5103791117578635,1.0638216387360862,0.41317365269461076,0.847718356390667,0.7123683667148463,891,"tags=33%, list=22%, signal=26%",ECB_02692/ECB_03828/ECB_03737
Ara-1,ribo,ebr00540,Lipopolysaccharide biosynthesis,37,-0.41233943073092916,-1.0432513418962877,0.43130990415335463,0.8699301456652406,0.7310337358531436,468,"tags=16%, list=11%, signal=14%",ECB_03063/ECB_03479/ECB_03062/ECB_00097/ECB_00217/ECB_02817
Ara-1,ribo,ebr00511,Other glycan degradation,3,0.6713309386365449,1.056811864717124,0.45714285714285713,0.8732587064676617,0.7338308457711443,942,"tags=67%, list=23%, signal=51%",ECB_00298/ECB_02946
Ara-1,ribo,ebr00633,Nitrotoluene degradation,6,0.554085659003312,1.0396800455357371,0.4623015873015873,0.8732587064676617,0.7338308457711443,472,"tags=50%, list=12%, signal=44%",ECB_02870/ECB_00539/ECB_01620
Ara-1,ribo,ebr00770,Pantothenate and CoA biosynthesis,23,-0.4381901479554623,-1.0115023084091277,0.4643478260869565,0.8732587064676617,0.7338308457711443,565,"tags=22%, list=14%, signal=19%",ECB_03647/ECB_03646/ECB_03649/ECB_00130/ECB_03652
Ara-1,ribo,ebr00860,Porphyrin and chlorophyll metabolism,22,-0.44985458029650954,-1.0323450449868201,0.46596858638743455,0.8732587064676617,0.7338308457711443,581,"tags=27%, list=14%, signal=24%",ECB_02336/ECB_03752/ECB_01902/ECB_01246/ECB_01185/ECB_01901
Ara-1,ribo,ebr00281,Geraniol degradation,5,-0.5956990698708905,-1.0219063867629645,0.4799196787148594,0.8732587064676617,0.7338308457711443,227,"tags=40%, list=6%, signal=38%",ECB_02265/ECB_04135
Ara-1,ribo,ebr00330,Arginine and proline metabolism,25,0.3613787966211594,0.9796846637852572,0.48095238095238096,0.8732587064676617,0.7338308457711443,691,"tags=36%, list=17%, signal=30%",ECB_00291/ECB_00120/ECB_00119/ECB_02768/ECB_02767/ECB_02795/ECB_00333/ECB_01716/ECB_01713
Ara-1,ribo,ebr00740,Riboflavin metabolism,13,-0.453265627496593,-0.9684615125908747,0.4890909090909091,0.8732587064676617,0.7338308457711443,1342,"tags=54%, list=33%, signal=36%",ECB_00029/ECB_00363/ECB_03735/ECB_01254/ECB_00362/ECB_02913/ECB_00983
Ara-1,ribo,ebr00600,Sphingolipid metabolism,2,0.7066448529456988,1.0283757063403063,0.49166666666666664,0.8732587064676617,0.7338308457711443,678,"tags=50%, list=17%, signal=42%",ECB_00298
Ara-1,ribo,ebr00785,Lipoic acid metabolism,3,-0.6440390803235982,-1.0069470318213087,0.5107212475633528,0.8834541062801932,0.7423984086388179,272,"tags=67%, list=7%, signal=62%",ECB_04262/ECB_00597
Ara-1,ribo,ebr00790,Folate biosynthesis,26,0.35136501579359997,0.9531340300662098,0.5122549019607843,0.8834541062801932,0.7423984086388179,915,"tags=35%, list=22%, signal=27%",ECB_00052/ECB_02610/ECB_01782/ECB_00141/ECB_01836/ECB_00749/ECB_02622/ECB_03042/ECB_02240
Ara-1,ribo,ebr02024,Quorum sensing,58,-0.34008834922597825,-0.9376166252419077,0.547085201793722,0.9059561128526645,0.7613076578593819,538,"tags=22%, list=13%, signal=20%",ECB_01397/ECB_01862/ECB_01451/ECB_01863/ECB_03918/ECB_02448/ECB_00651/ECB_01217/ECB_01220/ECB_01307/ECB_01221/ECB_01218/ECB_01219
Ara-1,ribo,ebr00361,Chlorocyclohexane and chlorobenzene degradation,2,0.6861532814987471,0.9985544543026846,0.55625,0.9059561128526645,0.7613076578593819,813,"tags=50%, list=20%, signal=40%",ECB_03717
Ara-1,ribo,ebr00364,Fluorobenzoate degradation,2,0.6861532814987471,0.9985544543026846,0.55625,0.9059561128526645,0.7613076578593819,813,"tags=50%, list=20%, signal=40%",ECB_03717
Ara-1,ribo,ebr00623,Toluene degradation,2,0.6861532814987471,0.9985544543026846,0.55625,0.9059561128526645,0.7613076578593819,813,"tags=50%, list=20%, signal=40%",ECB_03717
Ara-1,ribo,ebr00290,"Valine, leucine and isoleucine biosynthesis",17,-0.40813927731393856,-0.912312160722265,0.5683836589698046,0.9059561128526645,0.7613076578593819,937,"tags=47%, list=23%, signal=36%",ECB_03650/ECB_00074/ECB_00073/ECB_03647/ECB_00075/ECB_03646/ECB_03649/ECB_03652
Ara-1,ribo,ebr00071,Fatty acid degradation,14,0.3934071538347678,0.9179507589536268,0.5767543859649122,0.9059561128526645,0.7613076578593819,280,"tags=14%, list=7%, signal=13%",ECB_02692/ECB_02684
Ara-1,ribo,ebr00362,Benzoate degradation,10,0.4284820912612093,0.9194411645575601,0.5840163934426229,0.9059561128526645,0.7613076578593819,128,"tags=10%, list=3%, signal=10%",ECB_02692
